0,Air,icon items-21-0-0
1,Stone,icon items-21-1-0
1:01,Granite,icon items-21-1-1
1:02,Polished Granite,icon items-21-1-2
1:03,Diorite,icon items-21-1-3
1:04,Polished Diorite,icon items-21-1-4
1:05,Andesite,icon items-21-1-5
1:06,Polished Andesite,icon items-21-1-6
2,Grass,icon items-21-2-0
3,Dirt,icon items-21-3-0
3:01,Coarse Dirt,icon items-21-3-1
3:02,Podzol,icon items-21-3-2
4,Cobblestone,icon items-21-4-0
5,Oak Wood Plank,icon items-21-5-0
5:01,Spruce Wood Plank,icon items-21-5-1
5:02,Birch Wood Plank,icon items-21-5-2
5:03,Jungle Wood Plank,icon items-21-5-3
5:04,Acacia Wood Plank,icon items-21-5-4
5:05,Dark Oak Wood Plank,icon items-21-5-5
6,Oak Sapling,icon items-21-6-0
6:01,Spruce Sapling,icon items-21-6-1
6:02,Birch Sapling,icon items-21-6-2
6:03,Jungle Sapling,icon items-21-6-3
6:04,Acacia Sapling,icon items-21-6-4
6:05,Dark Oak Sapling,icon items-21-6-5
7,Bedrock,icon items-21-7-0
8,Flowing Water,icon items-21-8-0
9,Still Water,icon items-21-9-0
10,Flowing Lava,icon items-21-10-0
11,Still Lava,icon items-21-11-0
12,Sand,icon items-21-12-0
12:01,Red Sand,icon items-21-12-1
13,Gravel,icon items-21-13-0
14,Gold Ore,icon items-21-14-0
15,Iron Ore,icon items-21-15-0
16,Coal Ore,icon items-21-16-0
17,Oak Wood,icon items-21-17-0
17:01,Spruce Wood,icon items-21-17-1
17:02,Birch Wood,icon items-21-17-2
17:03,Jungle Wood,icon items-21-17-3
18,Oak Leaves,icon items-21-18-0
18:01,Spruce Leaves,icon items-21-18-1
18:02,Birch Leaves,icon items-21-18-2
18:03,Jungle Leaves,icon items-21-18-3
19,Sponge,icon items-21-19-0
19:01,Wet Sponge,icon items-21-19-1
20,Glass,icon items-21-20-0
21,Lapis Lazuli Ore,icon items-21-21-0
22,Lapis Lazuli Block,icon items-21-22-0
23,Dispenser,icon items-21-23-0
24,Sandstone,icon items-21-24-0
24:01:00,Chiseled Sandstone,icon items-21-24-1
24:02:00,Smooth Sandstone,icon items-21-24-2
25,Note Block,icon items-21-25-0
26,Bed,icon items-21-26-0
27,Powered Rail,icon items-21-27-0
28,Detector Rail,icon items-21-28-0
29,Sticky Piston,icon items-21-29-0
30,Cobweb,icon items-21-30-0
31,Dead Shrub,icon items-21-31-0
31:01:00,Grass,icon items-21-31-1
31:02:00,Fern,icon items-21-31-2
32,Dead Bush,icon items-21-32-0
33,Piston,icon items-21-33-0
34,Piston Head,icon items-21-34-0
35,White Wool,icon items-21-35-0
35:01:00,Orange Wool,icon items-21-35-1
35:02:00,Magenta Wool,icon items-21-35-2
35:03:00,Light Blue Wool,icon items-21-35-3
35:04:00,Yellow Wool,icon items-21-35-4
35:05:00,Lime Wool,icon items-21-35-5
35:06:00,Pink Wool,icon items-21-35-6
35:07:00,Gray Wool,icon items-21-35-7
35:08:00,Light Gray Wool,icon items-21-35-8
35:09:00,Cyan Wool,icon items-21-35-9
35:10:00,Purple Wool,icon items-21-35-10
35:11:00,Blue Wool,icon items-21-35-11
35:12:00,Brown Wool,icon items-21-35-12
35:13:00,Green Wool,icon items-21-35-13
35:14:00,Red Wool,icon items-21-35-14
35:15:00,Black Wool,icon items-21-35-15
37,Dandelion,icon items-21-37-0
38,Poppy,icon items-21-38-0
38:01:00,Blue Orchid,icon items-21-38-1
38:02:00,Allium,icon items-21-38-2
38:03:00,Azure Bluet,icon items-21-38-3
38:04:00,Red Tulip,icon items-21-38-4
38:05:00,Orange Tulip,icon items-21-38-5
38:06:00,White Tulip,icon items-21-38-6
38:07:00,Pink Tulip,icon items-21-38-7
38:08:00,Oxeye Daisy,icon items-21-38-8
39,Brown Mushroom,icon items-21-39-0
40,Red Mushroom,icon items-21-40-0
41,Gold Block,icon items-21-41-0
42,Iron Block,icon items-21-42-0
43,Double Stone Slab,icon items-21-43-0
43:01:00,Double Sandstone Slab,icon items-21-43-1
43:02:00,Double Wooden Slab,icon items-21-43-2
43:03:00,Double Cobblestone Slab,icon items-21-43-3
43:04:00,Double Brick Slab,icon items-21-43-4
43:05:00,Double Stone Brick Slab,icon items-21-43-5
43:06:00,Double Nether Brick Slab,icon items-21-43-6
43:07:00,Double Quartz Slab,icon items-21-43-7
44,Stone Slab,icon items-21-44-0
44:01:00,Sandstone Slab,icon items-21-44-1
44:02:00,Wooden Slab,icon items-21-44-2
44:03:00,Cobblestone Slab,icon items-21-44-3
44:04:00,Brick Slab,icon items-21-44-4
44:05:00,Stone Brick Slab,icon items-21-44-5
44:06:00,Nether Brick Slab,icon items-21-44-6
44:07:00,Quartz Slab,icon items-21-44-7
45,Bricks,icon items-21-45-0
46,TNT,icon items-21-46-0
47,Bookshelf,icon items-21-47-0
48,Moss Stone,icon items-21-48-0
49,Obsidian,icon items-21-49-0
50,Torch,icon items-21-50-0
51,Fire,icon items-21-51-0
52,Monster Spawner,icon items-21-52-0
53,Oak Wood Stairs,icon items-21-53-0
54,Chest,icon items-21-54-0
55,Redstone Wire,icon items-21-55-0
56,Diamond Ore,icon items-21-56-0
57,Diamond Block,icon items-21-57-0
58,Crafting Table,icon items-21-58-0
59,Wheat Crops,icon items-21-59-0
60,Farmland,icon items-21-60-0
61,Furnace,icon items-21-61-0
62,Burning Furnace,icon items-21-62-0
63,Standing Sign Block,icon items-21-63-0
64,Oak Door Block,icon items-21-64-0
65,Ladder,icon items-21-65-0
66,Rail,icon items-21-66-0
67,Cobblestone Stairs,icon items-21-67-0
68,Wall-mounted Sign Block,icon items-21-68-0
69,Lever,icon items-21-69-0
70,Stone Pressure Plate,icon items-21-70-0
71,Iron Door Block,icon items-21-71-0
72,Wooden Pressure Plate,icon items-21-72-0
73,Redstone Ore,icon items-21-73-0
74,Glowing Redstone Ore,icon items-21-74-0
75,Redstone Torch (off),icon items-21-75-0
76,Redstone Torch (on),icon items-21-76-0
77,Stone Button,icon items-21-77-0
78,Snow,icon items-21-78-0
79,Ice,icon items-21-79-0
80,Snow Block,icon items-21-80-0
81,Cactus,icon items-21-81-0
82,Clay,icon items-21-82-0
83,Sugar Canes,icon items-21-83-0
84,Jukebox,icon items-21-84-0
85,Oak Fence,icon items-21-85-0
86,Pumpkin,icon items-21-86-0
87,Netherrack,icon items-21-87-0
88,Soul Sand,icon items-21-88-0
89,Glowstone,icon items-21-89-0
90,Nether Portal,icon items-21-90-0
91,Jack o'Lantern,icon items-21-91-0
92,Cake Block,icon items-21-92-0
93,Redstone Repeater Block (off),icon items-21-93-0
94,Redstone Repeater Block (on),icon items-21-94-0
95,White Stained Glass,icon items-21-95-0
95:01:00,Orange Stained Glass,icon items-21-95-1
95:02:00,Magenta Stained Glass,icon items-21-95-2
95:03:00,Light Blue Stained Glass,icon items-21-95-3
95:04:00,Yellow Stained Glass,icon items-21-95-4
95:05:00,Lime Stained Glass,icon items-21-95-5
95:06:00,Pink Stained Glass,icon items-21-95-6
95:07:00,Gray Stained Glass,icon items-21-95-7
95:08:00,Light Gray Stained Glass,icon items-21-95-8
95:09:00,Cyan Stained Glass,icon items-21-95-9
95:10:00,Purple Stained Glass,icon items-21-95-10
95:11:00,Blue Stained Glass,icon items-21-95-11
